,BAS Förenklat årsbokslut (K1) – Minimikontoplan 2018,,,,
,,,,,
,,Inga ändringa i kopplingstabellen har gjorts jämfört med föregående år.,,,
,,Anläggningstillgångar ,,,
,B1,Immateriella anläggningstillgångar ,1000,,
,B2,Byggnader och markanläggningar,"1110, 1150",,
,B3,Mark och andra tillgångar som inte får skrivas av ,1130,,
,B4,Maskiner och inventarier,1220,,
,B5,Övriga anläggningstillgångar ,1300,,
,,,,,
,,Omsättningstillgångar ,,,
,B6,Varulager ,1400,,
,B7,Kundfordringar ,1500,,
,B8,Övriga fordringar ,1600,,
,B9,Kassa och bank ,1920,,
,,,,,
,,Eget kapital ,,,
,B10,Eget kapital ,2010,,
,,,,,
,,Skulder,,,
,B13,Låneskulder ,"2330, 2390",,
,B14,Skatteskulder ,2610–2650,,
,B15,Leverantörsskulder,2440,,
,B16,Övriga skulder ,2900,,
,,,,,
,,Intäkter,,,
,R1,Försäljning och utfört arbete samt övriga momspliktiga intäkter,"3000, 3700, 3900",,
,R2,Momsfria intäkter ,"3100, 3700, 3900",,
,R3,Bil- och bostadsförmån m.m. ,3200,,
,R4,Ränteintäkter,8310,,
,,,,,
,,Kostnader ,,,
,R5,"Varor, material och tjänster",4000,,
,R6,Övriga externa kostnader,6900,,
,R7,Anställd personal ,7000,,
,R8,Räntekostnader m.m.,8410,,
,,,,,
,,Avskrivningar och nedskrivningar ,,,
,R9,Avskrivningar och nedskrivningar av byggnader och markanläggningar ,"7700, 7820,  7980",,
,R10,Avskrivningar och nedskrivningar av maskiner och inventarier och immateriella tillgångar ,"7700, 7810, 7830,  7980",,
,,,,,
,,Upplysningar,,,
,U1,Periodiseringsfonder,2080,,
,U2,Expansionsfond,2050,,
,U3,Ersättningsfonder,2060,,
,U4,"Insatsemissioner, skogskonto, upphovsmannakonto, avbetalningsplan på skog o.d. ",2070,,